geoid_o,geoid_d,visitor_flows,pop_flows,lat_o,lng_o,lat_d,lng_d,county_o,county_d,pop_o,pop_d,eigen_centrality_o,eigen_centrality_d,scaled_sci
6007,6081,28.802197802197803,552.0,39.66692936367094,-121.60067173183134,37.43620973176126,-122.3556631985105,Butte County,San Mateo County,210135.0,762511.0,0.0011424085470853695,0.05845180422381311,10810
6007,6095,57.00000000000001,1097.3846153846155,39.66692936367094,-121.60067173183134,38.26691911759816,-121.9400068971127,Butte County,Solano County,210135.0,452698.0,0.0011424085470853695,0.009541123396942344,24420
6007,6097,38.3956043956044,734.021978021978,39.66692936367094,-121.60067173183134,38.525292574496746,-122.92254465472432,Butte County,Sonoma County,210135.0,488281.0,0.0011424085470853695,0.005417711644735741,29617
6007,6101,347.21978021978026,6603.219780219781,39.66692936367094,-121.60067173183134,39.03452288404048,-121.69484234013284,Butte County,Sutter County,210135.0,99464.0,0.0011424085470853695,0.0006161336018141221,286702
6007,6113,56.24175824175825,1069.8131868131868,39.66692936367094,-121.60067173183134,38.68664648089628,-121.90162045610802,Butte County,Yolo County,210135.0,216291.0,0.0011424085470853695,0.006949974513099759,41478
6007,6115,197.57142857142858,3750.5164835164837,39.66692936367094,-121.60067173183134,39.26900767275675,-121.35126271836052,Butte County,Yuba County,210135.0,81994.0,0.0011424085470853695,0.0005533758662631511,232766
6011,6001,5.505494505494506,115.72527472527473,39.177573134127535,-122.23702845533448,37.650546842122445,-121.91788544949588,Colusa County,Alameda County,21858.0,1680380.0,0.00017218528753112577,0.9999999999999999,6899
6011,6007,40.17582417582418,858.1868131868133,39.177573134127535,-122.23702845533448,39.66692936367094,-121.60067173183134,Colusa County,Butte County,21858.0,210135.0,0.00017218528753112577,0.0011424085470853695,229347
6011,6011,1400.7912087912089,29654.81318681319,39.177573134127535,-122.23702845533448,39.177573134127535,-122.23702845533448,Colusa County,Colusa County,21858.0,21858.0,0.00017218528753112577,0.00017218528753112577,21782053
6011,6013,3.626373626373627,75.97802197802199,39.177573134127535,-122.23702845533448,37.92341874155632,-121.95121244528308,Colusa County,Contra Costa County,21858.0,1165986.0,0.00017218528753112577,0.12488765582971975,11928
6011,6021,39.956043956043956,856.6483516483518,39.177573134127535,-122.23702845533448,39.59840476989015,-122.39220680724118,Colusa County,Glenn County,21858.0,28896.0,0.00017218528753112577,0.0001331980874288246,1292161
6011,6033,6.857142857142858,143.95604395604397,39.177573134127535,-122.23702845533448,39.09964534019901,-122.75318391622451,Colusa County,Lake County,21858.0,68195.0,0.00017218528753112577,0.00032473769187069113,98026
6011,6041,0.7252747252747254,15.274725274725276,39.177573134127535,-122.23702845533448,38.05518332680756,-122.74885854934313,Colusa County,Marin County,21858.0,261282.0,0.00017218528753112577,0.004477864609808402,7069
6011,6045,10.351648351648352,227.3956043956044,39.177573134127535,-122.23702845533448,39.4336238311982,-123.43155391611874,Colusa County,Mendocino County,21858.0,91361.0,0.00017218528753112577,0.00057775175903098,66058
6011,6055,4.780219780219781,105.74725274725276,39.177573134127535,-122.23702845533448,38.5064736594468,-122.33053320427236,Colusa County,Napa County,21858.0,137485.0,0.00017218528753112577,0.0020453417864052205,26089
6011,6067,59.06593406593407,1252.2197802197802,39.177573134127535,-122.23702845533448,38.44931480740672,-121.34424340677604,Colusa County,Sacramento County,21858.0,1586465.0,0.00017218528753112577,0.25574990517625434,46712
6011,6081,1.7032967032967035,35.8021978021978,39.177573134127535,-122.23702845533448,37.43620973176126,-122.3556631985105,Colusa County,San Mateo County,21858.0,762511.0,0.00017218528753112577,0.05845180422381311,6482
6011,6095,34.681318681318686,744.8791208791209,39.177573134127535,-122.23702845533448,38.26691911759816,-121.9400068971127,Colusa County,Solano County,21858.0,452698.0,0.00017218528753112577,0.009541123396942344,46450
6011,6097,3.186813186813187,66.10989010989012,39.177573134127535,-122.23702845533448,38.525292574496746,-122.92254465472432,Colusa County,Sonoma County,21858.0,488281.0,0.00017218528753112577,0.005417711644735741,24285
6011,6101,151.13186813186815,3220.6153846153848,39.177573134127535,-122.23702845533448,39.03452288404048,-121.69484234013284,Colusa County,Sutter County,21858.0,99464.0,0.00017218528753112577,0.0006161336018141221,673805
6011,6113,140.3846153846154,2991.868131868132,39.177573134127535,-122.23702845533448,38.68664648089628,-121.90162045610802,Colusa County,Yolo County,21858.0,216291.0,0.00017218528753112577,0.006949974513099759,300388
6011,6115,22.043956043956047,466.6373626373627,39.177573134127535,-122.23702845533448,39.26900767275675,-121.35126271836052,Colusa County,Yuba County,21858.0,81994.0,0.00017218528753112577,0.0005533758662631511,293311
6013,6001,13152.10989010989,224116.6043956044,37.92341874155632,-121.95121244528308,37.650546842122445,-121.91788544949588,Contra Costa County,Alameda County,1165986.0,1680380.0,0.12488765582971975,0.9999999999999999,88039
6013,6007,79.26373626373628,1352.0659340659342,37.92341874155632,-121.95121244528308,39.66692936367094,-121.60067173183134,Contra Costa County,Butte County,1165986.0,210135.0,0.12488765582971975,0.0011424085470853695,19788
6013,6011,13.43956043956044,233.25274725274727,37.92341874155632,-121.95121244528308,39.177573134127535,-122.23702845533448,Contra Costa County,Colusa County,1165986.0,21858.0,0.12488765582971975,0.00017218528753112577,11928
