,geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date,visitor_flows,pop_flows
19524,6037,6097,-118.26101696970831,34.19800147820897,-122.92254465472433,38.525292574496746,2019-07-23,137,2746.0
19962,6037,6043,-118.26101696970831,34.19800147820897,-119.9055172810364,37.58152187460611,2019-07-23,105,2105.0
20020,6037,6007,-118.26101696970831,34.19800147820897,-121.60067173183134,39.66692936367094,2019-07-23,54,1082.0
20021,6037,6019,-118.26101696970831,34.19800147820897,-119.64931992072789,36.75817909995374,2019-07-23,554,11107.0
20022,6037,6069,-118.26101696970831,34.19800147820897,-121.07499554108288,36.605705902231435,2019-07-23,7,140.0
20023,6037,6079,-118.26101696970831,34.19800147820897,-120.45219695427826,35.38741848606952,2019-07-23,829,16621.0
20024,6037,6107,-118.26101696970831,34.19800147820897,-118.80047251578982,36.22015662355563,2019-07-23,261,5232.0
20025,6037,6111,-118.26101696970831,34.19800147820897,-119.1260271961335,34.35752851853052,2019-07-23,6579,131907.0
20089,6037,6103,-118.26101696970831,34.19800147820897,-122.23388486645332,40.12573617716245,2019-07-23,33,661.0
20154,6037,6089,-118.26101696970831,34.19800147820897,-122.04052152474789,40.763766597080235,2019-07-23,107,2145.0
20162,6037,6033,-118.26101696970831,34.19800147820897,-122.75318391622451,39.099645340199004,2019-07-23,8,160.0
20187,6037,6067,-118.26101696970831,34.19800147820897,-121.34424340677604,38.449314807406715,2019-07-23,729,14616.0
20188,6037,6099,-118.26101696970831,34.19800147820897,-120.9976828984382,37.559137443240715,2019-07-23,176,3528.0
20290,6037,6041,-118.26101696970831,34.19800147820897,-122.74885854934313,38.05518332680756,2019-07-23,130,2606.0
20291,6037,6113,-118.26101696970831,34.19800147820897,-121.90162045610802,38.68664648089628,2019-07-23,88,1764.0
20303,6037,6013,-118.26101696970831,34.19800147820897,-121.95121244528309,37.92341874155632,2019-07-23,217,4350.0
20413,6037,6025,-118.26101696970831,34.19800147820897,-115.3653197293723,33.039505999919136,2019-07-23,108,2165.0
20414,6037,6039,-118.26101696970831,34.19800147820897,-119.76264813255865,37.21803147751612,2019-07-23,165,3308.0
20415,6037,6055,-118.26101696970831,34.19800147820897,-122.33053320427236,38.5064736594468,2019-07-23,69,1383.0
20416,6037,6061,-118.26101696970831,34.19800147820897,-120.71765160991616,39.063427199381174,2019-07-23,251,5032.0
20417,6037,6109,-118.26101696970831,34.19800147820897,-119.95475334431002,38.02760098861166,2019-07-23,33,661.0
20488,6037,6083,-118.26101696970831,34.19800147820897,-120.03078618310377,34.53834408621415,2019-07-23,1323,26525.0
20539,6037,6057,-118.26101696970831,34.19800147820897,-120.76875211635961,39.30136957890384,2019-07-23,41,822.0
20572,6037,6101,-118.26101696970831,34.19800147820897,-121.69484234013284,39.03452288404048,2019-07-23,18,360.0
20575,6037,6021,-118.26101696970831,34.19800147820897,-122.39220680724118,39.59840476989015,2019-07-23,9,180.0
20576,6037,6031,-118.26101696970831,34.19800147820897,-119.81550249362243,36.07536098867834,2019-07-23,64,1283.0
20590,6037,6051,-118.26101696970831,34.19800147820897,-118.88670926751537,37.93899035009903,2019-07-23,483,9684.0
20607,6037,6023,-118.26101696970831,34.19800147820897,-123.91581945049178,40.70500910443826,2019-07-23,80,1603.0
20646,6037,6063,-118.26101696970831,34.19800147820897,-120.83859760079802,40.004682481022,2019-07-23,8,160.0
20696,6037,6045,-118.26101696970831,34.19800147820897,-123.43155391611874,39.4336238311982,2019-07-23,57,1142.0
20703,6037,6091,-118.26101696970831,34.19800147820897,-120.5159963784201,39.58040010161696,2019-07-23,1,20.0
20717,6037,6009,-118.26101696970831,34.19800147820897,-120.55413209741344,38.20460680352815,2019-07-23,17,340.0
20718,6037,6015,-118.26101696970831,34.19800147820897,-123.95780135791581,41.7449423699455,2019-07-23,31,621.0
20721,6037,6005,-118.26101696970831,34.19800147820897,-120.65111562927252,38.44638950030805,2019-07-23,9,180.0
20722,6037,6035,-118.26101696970831,34.19800147820897,-120.59433283101079,40.673590390320065,2019-07-23,13,260.0
20723,6037,6049,-118.26101696970831,34.19800147820897,-120.72502895942912,41.58983357414569,2019-07-23,3,60.0
20724,6037,6115,-118.26101696970831,34.19800147820897,-121.35126271836053,39.26900767275675,2019-07-23,26,521.0
20787,6037,6011,-118.26101696970831,34.19800147820897,-122.23702845533448,39.177573134127535,2019-07-23,15,300.0
